"brandName","branchName","longitude","latitude","cityName"
Abuba,Abuba Steak Jalan Panjang,106.76805830,-6.20896600,Jakarta Barat
Abuba,Abuba Steak Kelapa Gading,106.90452028,-6.16201582,Jakarta Utara
Abuba,Abuba Steak Pluit,106.78244320,-6.12674280,Jakarta Utara
Abuba,Abuba Steak Mampang,106.77729400,-6.23253270,Jakarta Selatan
Abuba,Abuba Steak Senopati,106.81290580,-6.23433011,Jakarta Selatan
Abuba,Abuba Steak Tebet,106.85451696,-6.22906350,Jakarta Selatan
Abuba,Abuba Steak Tanjung Duren,106.78224331,-6.17395401,Jakarta Barat
Abuba,Abuba Steak Cipete,106.80723388,-6.27805883,Jakarta Selatan
Abuba,Abuba Steak Menteng,106.82552400,-6.18667614,Jakarta Pusat
Abuba,ABUBA Steak Matraman,106.85488012,-6.20061845,Jakarta Timur
Abuba,ABUBA STEAK CITRA GARDEN,106.71165681,-6.12504528,Jakarta Barat
Abuba,ABUBA Steak Gandaria,106.78979090,-6.24644196,Jakarta Selatan
Abubaso,Abubaso,106.79886918,-6.27763953,Jakarta Selatan
Abujay,Abujay,106.75856420,-6.27318760,Jakarta Selatan
Aburi Kitchen,Aburi Kitchen,106.86021820,-6.17494910,Jakarta Pusat
Aburi Kitchen,Aburi Kitchen Cempaka Putih,106.86010773,-6.17476629,Jakarta Pusat
Abuya Kebab,Abuya Kebab,106.84844124,-6.31189481,Jakarta Selatan
ACAII Tea,Acaii Tea Bellezza,106.78314450,-6.22187630,Jakarta Selatan
ACAII Tea,Acaii Tea Meruya,106.74269600,-6.19233200,Jakarta Barat
ACAII Tea,Acaii Tea Ashta District,106.80652490,-6.22957600,Jakarta Selatan
ACAII Tea,Acaii Tea Blok M Plaza,106.79763070,-6.24404360,Jakarta Selatan
ACAII Tea,Acaii Tea Central Park,106.78959740,-6.17389070,Jakarta Barat
ACAII Tea,Acaii Tea Grand Indonesia,106.82070260,-6.19586790,Jakarta Pusat
ACAII Tea,Acaii Tea Kota Kasablanka,106.84148450,-6.22484280,Jakarta Selatan
ACAII Tea,Acaii Tea Plaza Indonesia,106.82202820,-6.19385450,Jakarta Pusat
ACAII Tea,Acaii Tea Taman Anggrek,106.78464120,-6.16169800,Jakarta Barat
ACAII Tea,Acaii Tea Mall Kelapa Gading,106.90842630,-6.15726660,Jakarta Utara
ACAII Tea,Acaii Tea Puri Indah Mall,106.73935330,-6.18689640,Jakarta Barat
Acaraki Jamu,ACARAKI GRAND INDONESIA,106.82172930,-6.19472190,Jakarta Pusat
Acaraki Jamu,ACARAKI JAMU AEON MALL,106.83990328,-6.30651526,Jakarta Selatan
Acaraki Jamu,ACARAKI JAMU KOTA TUA,106.81138679,-6.13670928,Jakarta Barat
Acaraki Jamu,ACARAKI JAMU LANDMARK,106.79944552,-6.12440601,Jakarta Utara
Accha Indian Soulfood,Accha Indian Soulfood - Tomang,106.80552400,-6.17756200,Jakarta Barat
ACE PADEL CLUB,ACE PADEL CLUB - Jl Panjang,106.76685580,-6.18135210,Jakarta Barat
Acong Chinese Food,Acong Chinese Food Taman Palem,106.72374670,-6.13896470,Jakarta Barat
Adam resto,Adam resto,106.77965144,-6.16437582,Jakarta Barat
