Nama Restoran,Pricing,latitude,longitude
Rumah Makan Mini Jaya Masakan Padang,,-6.1944802,106.75592
Gwajanan Street Food,,-6.201035,106.782694
DD's Kitchen Restaurant,,-6.1707837,106.7465102
Krispypork Home - Crispy Pork Belly | Bakmi Babi | Pork Ribs,$$,-6.1707586,106.7463251
Mpo Marpuah's Nasi Uduk & Ketupat Sayur Restaurant,,-6.200976,106.7525752
Paon Bali,,-6.1913668,106.7623493
Selera Bahari Restaurant,,-6.1982134,106.7591962
Domba Gemboel Restaurant,,-6.1908036,106.7477114
Pempek Aling. Puri Indah Mall,,-6.1891627,106.7341676
Fast Food Restaurant,,-6.2022927,106.7694888
A Fung Baso Sapi Asli,,-6.1872816,106.7393835
Holygyu Bonjer,,-6.1997291,106.7692403
Restaurant Pakis,,-6.1620302,106.7408572
Rame-Rame Restaurant,,-6.1721357,106.7786618
Chinese Food Restaurant Akhun,$$,-6.1550798,106.7881773
Restaurant 991,,-6.1529903,106.784521
Fastfood Restaurant,,-6.1736502,106.7548522
Vilo Gelato Taman Ratu,$$,-6.169665,106.7667516
Poan Swikee Gris Restaurant,,-6.1727775,106.765807
Nasi Goreng Padang Bopet Sutan Mudo,,-6.2050646,106.7773753
Dapur Pipiti Bancakan,,-6.2077763,106.7744042
Fish Bite Kemanggisan,,-6.200706,106.7836059
Warna buida,,-6.2004985,106.7870907
Rocky Rooster Binus Syahdan,,-6.2011625,106.7851208
Ayam bakar Bu Hajjah Sri,,-6.2015844,106.7893191
Richeese Factory Jalan Panjang,,-6.19658,106.769281
Warteg Barokah,,-6.1899463,106.7898269
"Ayam Bakar Kemanggisan - Jln.U, Palmerah",,-6.2019582,106.7841313
Warteg Kemuning Cabang Depan Binus Anggrek,,-6.2022774,106.7828101
Cireng Mercon JJ_KitchenJkt,,-6.2024747,106.7795639
Flying Meshi,,-6.1973853,106.7530699
Kebab Pakistan & kedai kopi,,-6.2024383,106.7807894
Hooks Restaurant,,-6.1683197,106.7864061
Fast Food Restaurant,,-6.1577398,106.7787452
DJowo Restaurant,,-6.1804942,106.7926733
Youmi Restaurant (馋嘴号 Chan Zui Hao),,-6.1762388,106.788738
Restaurant Buncis Chinese Food,,-6.1620329,106.7408195
Fast Food Restaurant,,-6.1720052,106.7768059
Mie Ayam Tomang Restaurant,,-6.174023,106.7950406
Warung Nasi Mas No,,-6.2032036,106.7909228
Milky Way Cafe Lippo Mall Puri,,-6.1901924,106.7385112
"Warteg Kharisma Bahari, Binus Taisir",,-6.1994282,106.7876436
Ocean 8 Seafood & Dimsum Bar - Lippo Mall Puri,,-6.1898693,106.7395491
Yukirasa Sushi & Ramen,,-6.2166296,106.7722399
Mimenteng Restaurant,,-6.1980253,106.7930492
Sushi Roll Tengoku,$$,-6.1972626,106.7651502
Anugerah Restaurant,,-6.2144042,106.7728985
Cute Kitchen Restaurant,,-6.2175812,106.7607007
Warteg Warna Sari,,-6.1972774,106.7463931
Matahari Chinese Food Kemanggisan,,-6.1887148,106.7949692
Soto Sedaap Boyolali Hj. Widodo Palmerah,$,-6.2066873,106.7850005
Mie Jebew Shy Jeubew,,-6.198303,106.765424
WARTEG BAROKAH,$,-6.1925499,106.762327
Pizza La Pizzeria,,-6.2202591,106.7517765
Garden by the Joglo,,-6.1705764,106.7395089
Din Tai Fung - Puri Indah Mall,$$,-6.188489,106.73436
Bebek Kaleyo Kembangan,,-6.1881817,106.7553864
Saung Kembangan,,-6.1781123,106.746544
Padang Sabana,,-6.1849221,106.7364458
Seribu Rasa Lippo Mall Puri,$$$,-6.1880969,106.7390844
Gion,,-6.188298,106.7338769
Dapoer Hannamasak,,-6.1692864,106.7304856
Layar Seafood & Ikan Bakar Pesanggrahan,$$,-6.1956147,106.7554717
Soto Betawi Kusuma Ayu - Kelapa Dua,,-6.2075509,106.7691709
Bubur Boetjin Palmerah,,-6.2040443,106.791931
RM DAGANG SAIYO (Rumah Makan Padang),,-6.2248483,106.7783583
KitchenEtha,,-6.198229,106.795501
Nam Heong Lippo Mall Puri,,-6.190032,106.7390569
Yaoyao Sauerkraut Fish - Lippo Mall Puri GF (Depan Ranch Market),,-6.1898047,106.7395746
Warteg Intan,,-6.1949518,106.7417951
Yoshinoya (Puri Indah Mal),,-6.1887177,106.7336067
Samyuga Korean BBQ,"Rp 250,000+",-6.1907416,106.7386809
WARTEG JAYA BAHARI,,-6.200833,106.7409926
Pempek Palembang OPPA Asli Ikan Sehat & Halal,,-6.2099027,106.7728958
Fast Food Restaurant,,-6.1898618,106.7959805
Padang Restaurant Sari Alam,,-6.1904388,106.7955712
Restaurant,,-6.2200972,106.7721671
"Soto Betawi ""Pak Iwan""",,-6.220064,106.774166
WOW TEG (WARTEG YANG WOW),,-6.2009318,106.7840327
Pondok Sate Khas Madura 1,,-6.2004349,106.7869227
Bakso Nostalgia,,-6.2139774,106.7387634
Candi Resto & Rooftop Bar,,-6.182849,106.751558
Ria Ayam Penyet (Greenville),,-6.1695518,106.7686546
Magal Greenville,,-6.1692358,106.7723955
Mutiara Baru,$$,-6.1650422,106.771264
Steak 21 Puri Indah Mall,££,-6.188756,106.7341502
HARRIS Cafe by HARRIS Suites Puri Mansion,,-6.1801822,106.7242169
Oma Echi Kitchen,,-6.1683752,106.7552646
AYAM SUWIR BALI OFFICIAL,,-6.1730671,106.7659578
SUSHIRO - Puri Indah Mall,,-6.1876301,106.7341583
RM Puri Minang,,-6.1769206,106.7477148
Pempek Mama Ely Permata Palem,,-6.131157,106.708358
Nasi Tempong Mpok,,-6.1256679,106.7119994
Pattaya Thai Dessert,,-6.1187255,106.7000435
Bakso Prasmanan Deva,,-6.1440773,106.6919978
Lomie Atong,,-6.1330807,106.7121052
Warteg Anisa,,-6.1320306,106.7073422
KONGDE AYAM PRIMA,,-6.1180508,106.7111805
Cheese & Dough Taman Surya,,-6.1312158,106.704204
Warung Nasi Ibu Naya,,-6.113183,106.7014927
Warung Nasi Ayam Bali,,-6.1299536,106.7065386
Wahyoo Warteg Pak Jo,,-6.1292627,106.7039834
Kwetiau Sapi A12,,-6.137496,106.7025831
Steak 21 Lippo Mall Puri,££,-6.188254,106.7387662
Warung Buntut Gajah,,-6.1268373,106.7130861
SUSHIGAN! Citra 6,,-6.1246882,106.7110796
DIM SUM TOWN,,-6.1339778,106.718522
Lay Lay Kopitiam - Jajanan Street Food Asia,,-6.1324514,106.7100521
Saung RR - Taman Palem Lestari,,-6.1303528,106.7163594
Soto Betawi Kusuma Ayu - Maja,,-6.1344863,106.7026249
Pasir Putih Seafood,,-6.1377976,106.7121688
Warteg Kharisma Bahari Paradise Mansion,,-6.1321472,106.7022463
PHUKET Citra,$,-6.1257573,106.7128439
Seafood 52,$$,-6.1309147,106.7163269
Bakmi Aroma Medan,$,-6.1319901,106.7102833
Genki Sushi Citra 6,,-6.1282893,106.7145174
Food Desires (Curry Katsu),,-6.1312088,106.7158702
Xing Zhuan Dimsum Taman Surya,$$,-6.1383172,106.7121685
Bakmi Bintang Gading-Taman Ratu Greenville,,-6.1698687,106.7679463
Subway - Wang Plaza,,-6.1729397,106.765983
Sate Khas Tegal Puri Indah,,-6.1871501,106.735674
Thai Bun Bun Lippo Mall Puri Lt.LG,,-6.1876064,106.7395039
Sarapan Pagi Dan Jajanan,$,-6.1672988,106.7514632
Reddog - Lippo Mall Puri,,-6.1875517,106.7388011
Warteg Sederhana Ibu Isah,,-6.1853261,106.7272682
Ikan & Ayam Bakar Rizky,,-6.1869672,106.76792
Warung nasi uduk Mpo mumut,,-6.1800945,106.7466463
Nasi Goreng Asyura,,-6.1789753,106.7642253
RONG XIANG YUAN,,-6.1328243,106.7354386
Bakmi songsui 89,,-6.1432214,106.7144784
Hoki Suan Cai Yu,,-6.1352413,106.733455
Bakmi Ono,,-6.1301991,106.7161924
Cilor Censih,,-6.1418504,106.7227994
Tahu crispy oke,,-6.1395013,106.7358785
Nasi Goreng Dan Ayam Bakar Umi,$,-6.1216843,106.7298886
Warteg 2 Nur,$,-6.1270432,106.7162963
Meaters,,-6.125529,106.711973
Bakso Malang Nonik,$,-6.1296901,106.715819
Bangi Cafe,$,-6.126902,106.7131578
Restoran Kim Fa - Bakmi Belitung,,-6.1333583,106.6955257
Barokah Tegal Restaurant,,-6.1262125,106.7167969
Wahyoo Warteg Sri Rejeki,,-6.1312235,106.7062781
Bijin Nabe Lippo Mall Puri,,-6.187603,106.738679
Backdoor x PatBingSoo,,-6.1797462,106.7107767
Watashiwa Japan Restaurant,,-6.1722442,106.7134617
Seroeni - Lippo Mall Puri,,-6.1881244,106.7386502
Fast Food Restaurant,,-6.13197,106.6864246
Farid & Shafira 57 Tegal Restaurant,,-6.1217731,106.7134935
Warteg Anis Bahari,$,-6.1243806,106.7176096
TacoSan,,-6.1306398,106.7038747
Joy Veggie,,-6.1447294,106.7035827
Ayam Bakar Nathan,,-6.1324597,106.710253
Sop Ikan Batam Citra 6,$$,-6.1233962,106.7099238
Nasi Uduk Betawi Lusi,,-6.1200243,106.7003484
Warteg Simpang Tiga,$,-6.1442251,106.7022666
Truffle Belly - Citra 3,,-6.1277219,106.7082044
Tenda Sapporo,,-6.1372723,106.7124391
Soto Ayam Wahyu Suroboyo,,-6.1335793,106.6927449
Bebek Kaleyo Daan Mogot,,-6.1528891,106.7132805
Popeyes Kalideres,,-6.1446443,106.7019603
Sentosa Seafood,$$,-6.1515564,106.7130031
Emado's Shawarma Daan Mogot,,-6.1523493,106.7129902
Richeese Factory Daan Mogot,,-6.153372,106.7137154
Nusarasa Kalideres,,-6.1514449,106.7061142
Imperial Kitchen & Dimsum - Green Sedayu Mall,$$,-6.1390897,106.7289782
CREAMIE KALIDERES,,-6.1356218,106.6956271
Gudeg Mirah,,-6.151254,106.714212
Ta Wan Green Sedayu Mall,$$,-6.1391077,106.7283807
Kedai abbu,,-6.1371211,106.7318145
Nasi Uduk Betawi AbangNone,,-6.13881,106.7024428
Nasi Goreng Rianto,,-6.1302908,106.706444
Soto Banjar Yulia,,-6.1300359,106.7155982
soto betawi nikmat,,-6.131258,106.717238
Si Omay Ikan Tenggiri,,-6.1302376,106.7157765
Seafood Dan Nasi Uduk Ade Fany,,-6.1443205,106.7069676
WIN DIMSUM & KITCHEN,,-6.1307142,106.7153047
Wahyoo warteg Jaya Makmur,,-6.1350901,106.7027459
